Date,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Season,Rest
2024-11-10,DAL,8,1,40:51,9,19,.474,2,8,.250,4,6,.667,9,9,1,1,5,2,24,18.8,+5,2025,2.0
2024-11-12,DAL,10,1,41:05,13,27,.481,2,10,.200,3,3,1.000,8,6,3,0,5,2,31,21.1,+2,2025,2.0
2024-11-14,DAL,29,1,38:04,13,25,.520,4,13,.308,7,7,1.000,7,9,1,0,3,0,37,31.5,-8,2025,2.0
2024-11-16,DAL,27,1,28:24,6,16,.375,3,9,.333,1,3,.333,6,6,2,0,4,4,16,9.6,+15,2025,2.0
2024-11-19,DAL,19,1,29:37,10,16,.625,3,8,.375,3,5,.600,5,5,3,1,3,0,26,23.7,+28,2025,3.0
2024-12-01,DAL,25,1,36:17,15,24,.625,4,10,.400,2,4,.500,7,13,3,0,3,2,36,34.8,+1,2025,12.0
2024-12-03,DAL,15,1,40:28,11,22,.500,5,9,.556,10,16,.625,12,4,4,1,3,4,37,31.3,+16,2025,2.0
2024-12-05,DAL,30,1,32:24,7,17,.412,3,10,.300,4,5,.800,10,10,2,1,4,2,21,19.4,+36,2025,2.0
2024-12-07,DAL,28,1,38:14,9,20,.450,6,13,.462,6,6,1.000,13,11,4,0,4,4,30,29.6,+10,2025,2.0
2024-12-10,DAL,21,1,40:10,5,15,.333,2,8,.250,4,5,.800,11,5,4,0,6,3,16,11.1,-14,2025,3.0
2024-12-15,DAL,10,1,37:51,16,23,.696,6,11,.545,7,9,.778,11,13,3,2,3,1,45,48.7,+18,2025,5.0
2024-12-23,DAL,25,1,29:47,10,19,.526,1,7,.143,6,8,.750,7,7,1,0,3,2,27,21.5,+16,2025,8.0
2024-12-25,DAL,18,1,16:13,5,9,.556,3,5,.600,1,1,1.000,5,2,1,0,3,1,14,10.6,-6,2025,2.0
2025-02-10,LAL,29,1,23:33,5,14,.357,1,7,.143,3,3,1.000,5,4,0,0,1,3,14,8.7,+15,2025,47.0
2025-02-12,LAL,29,1,23:06,6,13,.462,3,8,.375,1,5,.200,4,4,1,1,5,5,16,6.8,-19,2025,2.0
2025-02-19,LAL,5,1,33:14,5,18,.278,1,9,.111,3,4,.750,11,8,1,0,6,5,14,5.3,+13,2025,7.0
2025-02-22,LAL,8,1,30:38,10,22,.455,4,9,.444,8,8,1.000,10,7,4,1,1,0,32,32.6,+20,2025,3.0
2025-02-25,LAL,7,1,35:18,6,17,.353,1,7,.143,6,8,.750,15,12,3,2,2,2,19,24.0,+8,2025,3.0
2025-02-27,LAL,18,1,35:46,6,20,.300,1,9,.111,8,12,.667,13,5,0,0,3,2,21,12.2,0,2025,2.0
2025-02-28,LAL,13,1,35:06,9,22,.409,3,9,.333,10,11,.909,2,5,3,0,6,5,31,18.3,-13,2025,1.0
2025-03-02,LAL,13,1,36:58,9,17,.529,5,12,.417,6,9,.667,6,9,2,0,6,2,29,22.8,+19,2025,2.0
2025-03-04,LAL,19,1,34:07,9,19,.474,6,13,.462,6,11,.545,8,15,1,1,5,0,30,28.3,+37,2025,2.0
